broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
DS069,keynote,SPANDANA,131.0,SELL,
DS069,keynote,SHRIRAMFIN,41.0,BUY,
DS069,keynote,MANGCHEFER,482.0,SELL,
DS069,keynote,VHLTD,2451.0,BUY,Total ENTRY
DS069,keynote,RECLTD,53.0,BUY,
DS069,keynote,GPTINFRA,137.0,BUY,
DS069,keynote,PFC,58.0,BUY,
DS069,keynote,PNB,126.0,BUY,
DS069,keynote,GPTHEALTH,3335.0,BUY,
DS069,keynote,PYRAMID,262.0,SELL,
DS069,keynote,AXISBANK,1.0,BUY,
DS069,keynote,BBL,5.0,BUY,
DS069,keynote,KPIGREEN,73.0,BUY,
DS069,keynote,DEEPAKFERT,94.0,SELL,
DS069,keynote,BHARTIARTL,3.0,SELL,
DS069,keynote,VEDL,116.0,BUY,
DS069,keynote,BANKBARODA,93.0,SELL,
DS069,keynote,LIQUIDBEES,309.0,SELL,Total EXIT
