broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
BD027,keynote,SPANDANA,82.0,SELL,
BD027,keynote,SHRIRAMFIN,31.0,BUY,
BD027,keynote,MANGCHEFER,345.0,SELL,
BD027,keynote,VHLTD,1027.0,BUY,
BD027,keynote,RECLTD,43.0,BUY,
BD027,keynote,GPTINFRA,963.0,BUY,
BD027,keynote,PFC,47.0,BUY,
BD027,keynote,PNB,109.0,BUY,
BD027,keynote,GPTHEALTH,249.0,BUY,
BD027,keynote,PYRAMID,62.0,SELL,
BD027,keynote,AXISBANK,21.0,SELL,
BD027,keynote,BBL,19.0,BUY,
BD027,keynote,KPIGREEN,59.0,BUY,
BD027,keynote,DEEPAKFERT,37.0,BUY,
BD027,keynote,BHARTIARTL,3.0,BUY,
BD027,keynote,VEDL,92.0,BUY,
BD027,keynote,BANKBARODA,68.0,SELL,
BD027,keynote,LIQUIDBEES,113.0,SELL,Total EXIT
