broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
RN001,other,VEDL,200.0,BUY,
RN001,other,SHRIRAMFIN,205.0,SELL,Total EXIT
RN001,other,RECLTD,243.0,SELL,Total EXIT
RN001,other,DEEPAKFERT,84.0,SELL,
RN001,other,AXISBANK,43.0,SELL,
RN001,other,GPTINFRA,399.0,BUY,
RN001,other,KPIGREEN,99.0,BUY,
RN001,other,HDFCBANK,61.0,SELL,Total EXIT
RN001,other,BANKBARODA,206.0,SELL,Total EXIT
RN001,other,MANGCHEFER,1080.0,SELL,
RN001,other,BBL,16.0,BUY,
RN001,other,SPANDANA,1106.0,BUY,
RN001,other,PNB,1186.0,SELL,Total EXIT
RN001,other,VHLTD,1786.0,BUY,Total ENTRY
RN001,other,BHARTIARTL,80.0,SELL,Total EXIT
RN001,other,GPTHEALTH,2273.0,BUY,Total ENTRY
RN001,other,PYRAMID,383.0,BUY,
RN001,other,GICRE,113.0,SELL,Total EXIT
RN001,other,IMFA,300.0,SELL,Total EXIT
RN001,other,MANAPPURAM,160.0,SELL,Total EXIT
RN001,other,PFC,261.0,SELL,Total EXIT
