broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
AG063,keynote,SPANDANA,123.0,SELL,
AG063,keynote,SHRIRAMFIN,46.0,BUY,
AG063,keynote,MANGCHEFER,497.0,SELL,
AG063,keynote,VHLTD,2602.0,BUY,Total ENTRY
AG063,keynote,RECLTD,60.0,BUY,
AG063,keynote,GPTINFRA,199.0,BUY,
AG063,keynote,PFC,64.0,BUY,
AG063,keynote,PNB,149.0,BUY,
AG063,keynote,GPTHEALTH,3539.0,BUY,
AG063,keynote,PYRAMID,96.0,SELL,
AG063,keynote,AXISBANK,67.0,SELL,
AG063,keynote,BBL,6.0,BUY,
AG063,keynote,KPIGREEN,82.0,BUY,
AG063,keynote,DEEPAKFERT,122.0,SELL,
AG063,keynote,BHARTIARTL,2.0,SELL,
AG063,keynote,VEDL,129.0,BUY,
AG063,keynote,BANKBARODA,17.0,BUY,
AG063,keynote,LIQUIDBEES,354.0,SELL,Total EXIT
