broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
SG102 - SG103,keynote,SPANDANA,147.0,SELL,
SG102 - SG103,keynote,SHRIRAMFIN,39.0,BUY,
SG102 - SG103,keynote,MANGCHEFER,503.0,SELL,
SG102 - SG103,keynote,VHLTD,416.0,SELL,
SG102 - SG103,keynote,RECLTD,50.0,BUY,
SG102 - SG103,keynote,GPTINFRA,5247.0,BUY,
SG102 - SG103,keynote,PFC,55.0,BUY,
SG102 - SG103,keynote,PNB,113.0,BUY,
SG102 - SG103,keynote,GPTHEALTH,3378.0,BUY,
SG102 - SG103,keynote,PYRAMID,526.0,SELL,
SG102 - SG103,keynote,BBL,5.0,BUY,
SG102 - SG103,keynote,KPIGREEN,71.0,BUY,
SG102 - SG103,keynote,DEEPAKFERT,85.0,SELL,
SG102 - SG103,keynote,BHARTIARTL,4.0,SELL,
SG102 - SG103,keynote,VEDL,113.0,BUY,
SG102 - SG103,keynote,BANKBARODA,3.0,BUY,
SG102 - SG103,keynote,LIQUIDBEES,720.0,SELL,Total EXIT
