broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
RG001 - RG005,other,SPANDANA,490.0,SELL,
RG001 - RG005,other,SHRIRAMFIN,82.0,SELL,
RG001 - RG005,other,MANGCHEFER,1145.0,SELL,
RG001 - RG005,other,VHLTD,1918.0,BUY,Total ENTRY
RG001 - RG005,other,RECLTD,99.0,SELL,
RG001 - RG005,other,GPTINFRA,2606.0,BUY,
RG001 - RG005,other,PFC,55.0,BUY,
RG001 - RG005,other,PNB,109.0,BUY,
RG001 - RG005,other,GPTHEALTH,198.0,BUY,
RG001 - RG005,other,PYRAMID,255.0,BUY,
RG001 - RG005,other,AXISBANK,2.0,SELL,
RG001 - RG005,other,BBL,28.0,BUY,
RG001 - RG005,other,KPIGREEN,195.0,BUY,
RG001 - RG005,other,DEEPAKFERT,30.0,SELL,
RG001 - RG005,other,BHARTIARTL,49.0,SELL,
RG001 - RG005,other,VEDL,157.0,BUY,
RG001 - RG005,other,BANKBARODA,270.0,SELL,
RG001 - RG005,other,LIQUIDBEES,4.0,SELL,Total EXIT
