broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
MP070,keynote,KPIGREEN,75.0,SELL,
MP070,keynote,MANGCHEFER,877.0,BUY,Total ENTRY
MP070,keynote,SPANDANA,196.0,SELL,
MP070,keynote,GPTHEALTH,109.0,SELL,
MP070,keynote,PYRAMID,450.0,SELL,
MP070,keynote,VHLTD,491.0,BUY,
MP070,keynote,DEEPAKFERT,103.0,SELL,
MP070,keynote,GPTINFRA,295.0,BUY,
MP070,keynote,AXISBANK,62.0,SELL,
MP070,keynote,VEDL,490.0,BUY,Total ENTRY
MP070,keynote,BBL,14.0,SELL,
MP070,keynote,LIQUIDBEES,219.0,SELL,Total EXIT
