broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
KG024,keynote,SPANDANA,225.0,SELL,
KG024,keynote,SHRIRAMFIN,53.0,BUY,
KG024,keynote,MANGCHEFER,1730.0,BUY,Total ENTRY
KG024,keynote,VHLTD,3524.0,BUY,Total ENTRY
KG024,keynote,RECLTD,67.0,BUY,
KG024,keynote,GPTINFRA,69.0,BUY,
KG024,keynote,PFC,73.0,BUY,
KG024,keynote,PNB,141.0,BUY,
KG024,keynote,GPTHEALTH,133.0,SELL,
KG024,keynote,PYRAMID,207.0,SELL,
KG024,keynote,AXISBANK,2.0,SELL,
KG024,keynote,BBL,7.0,BUY,
KG024,keynote,KPIGREEN,96.0,BUY,
KG024,keynote,DEEPAKFERT,127.0,SELL,
KG024,keynote,HDFCBANK,113.0,SELL,Total EXIT
KG024,keynote,BHARTIARTL,6.0,SELL,
KG024,keynote,VEDL,155.0,BUY,
KG024,keynote,BANKBARODA,4.0,SELL,
KG024,keynote,LIQUIDBEES,292886.0,SELL,Total EXIT
