broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
HK019 - LK012,keynote,VEDL,103.0,BUY,
HK019 - LK012,keynote,SHRIRAMFIN,42.0,BUY,
HK019 - LK012,keynote,RECLTD,41.0,BUY,
HK019 - LK012,keynote,DEEPAKFERT,4.0,SELL,
HK019 - LK012,keynote,AXISBANK,17.0,SELL,
HK019 - LK012,keynote,GPTINFRA,141.0,SELL,
HK019 - LK012,keynote,KPIGREEN,13.0,BUY,
HK019 - LK012,keynote,MANGCHEFER,350.0,SELL,
HK019 - LK012,keynote,BBL,3.0,SELL,
HK019 - LK012,keynote,SPANDANA,121.0,SELL,
HK019 - LK012,keynote,PNB,82.0,BUY,
HK019 - LK012,keynote,VHLTD,1944.0,BUY,Total ENTRY
HK019 - LK012,keynote,LIQUIDBEES,177.0,SELL,Total EXIT
HK019 - LK012,keynote,BHARTIARTL,4.0,BUY,
HK019 - LK012,keynote,GPTHEALTH,10.0,BUY,
HK019 - LK012,keynote,PYRAMID,294.0,SELL,
HK019 - LK012,keynote,BANKBARODA,7.0,BUY,
HK019 - LK012,keynote,PFC,46.0,BUY,
