broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
CK012,keynote,SPANDANA,170.0,SELL,
CK012,keynote,SHRIRAMFIN,36.0,BUY,
CK012,keynote,MANGCHEFER,292.0,SELL,
CK012,keynote,VHLTD,1752.0,BUY,Total ENTRY
CK012,keynote,RECLTD,51.0,BUY,
CK012,keynote,GPTINFRA,284.0,BUY,
CK012,keynote,PFC,54.0,BUY,
CK012,keynote,PNB,147.0,BUY,
CK012,keynote,GPTHEALTH,87.0,BUY,
CK012,keynote,PYRAMID,8.0,SELL,
CK012,keynote,AXISBANK,8.0,BUY,
CK012,keynote,BBL,1.0,BUY,
CK012,keynote,KPIGREEN,67.0,BUY,
CK012,keynote,DEEPAKFERT,5.0,BUY,
CK012,keynote,BHARTIARTL,1.0,SELL,
CK012,keynote,VEDL,11.0,SELL,
CK012,keynote,BANKBARODA,30.0,BUY,
CK012,keynote,LIQUIDBEES,109.0,SELL,Total EXIT
