broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
JC555 - LC555 - RC555,keynote,SPANDANA,885.0,BUY,
JC555 - LC555 - RC555,keynote,SHRIRAMFIN,234.0,BUY,
JC555 - LC555 - RC555,keynote,MANGCHEFER,330.0,BUY,
JC555 - LC555 - RC555,keynote,VHLTD,3784.0,BUY,Total ENTRY
JC555 - LC555 - RC555,keynote,RECLTD,343.0,BUY,
JC555 - LC555 - RC555,keynote,GPTINFRA,3696.0,BUY,
JC555 - LC555 - RC555,keynote,PFC,356.0,BUY,
JC555 - LC555 - RC555,keynote,PNB,1369.0,BUY,
JC555 - LC555 - RC555,keynote,GPTHEALTH,2862.0,BUY,
JC555 - LC555 - RC555,keynote,PYRAMID,1870.0,BUY,
JC555 - LC555 - RC555,keynote,AXISBANK,132.0,BUY,
JC555 - LC555 - RC555,keynote,BBL,44.0,BUY,
JC555 - LC555 - RC555,keynote,KPIGREEN,258.0,BUY,
JC555 - LC555 - RC555,keynote,DEEPAKFERT,321.0,BUY,
JC555 - LC555 - RC555,keynote,BHARTIARTL,62.0,BUY,
JC555 - LC555 - RC555,keynote,VEDL,534.0,BUY,
JC555 - LC555 - RC555,keynote,BANKBARODA,550.0,BUY,
JC555 - LC555 - RC555,keynote,LIQUIDBEES,147.0,SELL,Total EXIT
