broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
MG042,keynote,SPANDANA,169.0,BUY,
MG042,keynote,SHRIRAMFIN,56.0,BUY,
MG042,keynote,MANGCHEFER,1.0,SELL,
MG042,keynote,VHLTD,1715.0,BUY,
MG042,keynote,RECLTD,63.0,BUY,
MG042,keynote,GPTINFRA,4994.0,SELL,
MG042,keynote,PFC,70.0,BUY,
MG042,keynote,PNB,251.0,BUY,
MG042,keynote,GPTHEALTH,569.0,BUY,
MG042,keynote,PYRAMID,335.0,BUY,
MG042,keynote,AXISBANK,19.0,BUY,
MG042,keynote,BBL,8.0,BUY,
MG042,keynote,KPIGREEN,86.0,BUY,
MG042,keynote,DEEPAKFERT,49.0,BUY,
MG042,keynote,BHARTIARTL,5.0,BUY,
MG042,keynote,VEDL,69.0,BUY,
MG042,keynote,BANKBARODA,82.0,BUY,
MG042,keynote,LIQUIDBEES,164.0,SELL,Total EXIT
