broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
NS079,keynote,VEDL,25.0,SELL,
NS079,keynote,SHRIRAMFIN,35.0,BUY,
NS079,keynote,RECLTD,6.0,BUY,
NS079,keynote,DEEPAKFERT,97.0,SELL,
NS079,keynote,AXISBANK,32.0,SELL,
NS079,keynote,GPTINFRA,203.0,BUY,
NS079,keynote,KPIGREEN,18.0,SELL,
NS079,keynote,MANGCHEFER,324.0,SELL,
NS079,keynote,BBL,8.0,SELL,
NS079,keynote,SPANDANA,41.0,SELL,
NS079,keynote,PNB,5.0,BUY,
NS079,keynote,VHLTD,2392.0,BUY,Total ENTRY
NS079,keynote,BHARTIARTL,5.0,SELL,
NS079,keynote,GPTHEALTH,313.0,SELL,
NS079,keynote,PYRAMID,218.0,SELL,
NS079,keynote,BANKBARODA,57.0,BUY,
NS079,keynote,PFC,369.0,SELL,
