broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
FS7741 - GB2876 - RXU639,zerodha,SPANDANA,87.0,SELL,
FS7741 - GB2876 - RXU639,zerodha,SHRIRAMFIN,46.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,MANGCHEFER,430.0,SELL,
FS7741 - GB2876 - RXU639,zerodha,VHLTD,1977.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,RECLTD,61.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,GPTINFRA,1322.0,SELL,
FS7741 - GB2876 - RXU639,zerodha,PFC,65.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,PNB,166.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,GPTHEALTH,310.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,PYRAMID,708.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,AXISBANK,5.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,BBL,6.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,KPIGREEN,83.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,DEEPAKFERT,65.0,SELL,
FS7741 - GB2876 - RXU639,zerodha,VEDL,248.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,BANKBARODA,27.0,BUY,
FS7741 - GB2876 - RXU639,zerodha,LIQUIDBEES,21.0,SELL,Total EXIT
