broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
MDK705 - MM5525,zerodha,VEDL,988.0,BUY,
MDK705 - MM5525,zerodha,SHRIRAMFIN,209.0,BUY,
MDK705 - MM5525,zerodha,RECLTD,38.0,BUY,
MDK705 - MM5525,zerodha,DEEPAKFERT,540.0,SELL,
MDK705 - MM5525,zerodha,KPEL,405.0,SELL,Total EXIT
MDK705 - MM5525,zerodha,AXISBANK,87.0,SELL,
MDK705 - MM5525,zerodha,GPTINFRA,711.0,SELL,
MDK705 - MM5525,zerodha,KPIGREEN,127.0,BUY,
MDK705 - MM5525,zerodha,MANGCHEFER,2679.0,SELL,
MDK705 - MM5525,zerodha,BBL,14.0,SELL,
MDK705 - MM5525,zerodha,SPANDANA,1060.0,SELL,
MDK705 - MM5525,zerodha,PNB,413.0,BUY,
MDK705 - MM5525,zerodha,VHLTD,2609.0,BUY,
MDK705 - MM5525,zerodha,BHARTIARTL,3.0,BUY,
MDK705 - MM5525,zerodha,GPTHEALTH,7423.0,BUY,
MDK705 - MM5525,zerodha,PYRAMID,2123.0,BUY,
MDK705 - MM5525,zerodha,BANKBARODA,35.0,BUY,
MDK705 - MM5525,zerodha,PFC,231.0,BUY,
