broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
MN025,keynote,SPANDANA,234.0,SELL,
MN025,keynote,SHRIRAMFIN,245.0,SELL,
MN025,keynote,MANGCHEFER,376.0,SELL,
MN025,keynote,VHLTD,2087.0,BUY,Total ENTRY
MN025,keynote,RECLTD,54.0,BUY,
MN025,keynote,GPTINFRA,239.0,BUY,
MN025,keynote,PFC,58.0,BUY,
MN025,keynote,PNB,144.0,BUY,
MN025,keynote,GPTHEALTH,525.0,BUY,
MN025,keynote,PYRAMID,46.0,SELL,
MN025,keynote,AXISBANK,4.0,BUY,
MN025,keynote,BBL,31.0,BUY,
MN025,keynote,KPIGREEN,71.0,BUY,
MN025,keynote,DEEPAKFERT,14.0,BUY,
MN025,keynote,BHARTIARTL,33.0,BUY,
MN025,keynote,VEDL,111.0,BUY,
MN025,keynote,BANKBARODA,24.0,BUY,
MN025,keynote,LIQUIDBEES,137.0,SELL,Total EXIT
