broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
BLQ476,zerodha,SPANDANA,8487.0,BUY,
BLQ476,zerodha,SHRIRAMFIN,49.0,SELL,
BLQ476,zerodha,MANGCHEFER,9169.0,SELL,
BLQ476,zerodha,VHLTD,11143.0,BUY,
BLQ476,zerodha,RECLTD,178.0,SELL,
BLQ476,zerodha,GPTINFRA,31472.0,BUY,
BLQ476,zerodha,PFC,149.0,SELL,
BLQ476,zerodha,PNB,1508.0,BUY,
BLQ476,zerodha,GPTHEALTH,23024.0,BUY,
BLQ476,zerodha,PYRAMID,1030.0,BUY,
BLQ476,zerodha,AXISBANK,322.0,SELL,
BLQ476,zerodha,BBL,64.0,SELL,
BLQ476,zerodha,KPIGREEN,22.0,SELL,
BLQ476,zerodha,DEEPAKFERT,2078.0,SELL,
BLQ476,zerodha,BHARTIARTL,240.0,SELL,
BLQ476,zerodha,VEDL,1571.0,BUY,
BLQ476,zerodha,BANKBARODA,1106.0,SELL,
BLQ476,zerodha,LIQUIDBEES,10.0,SELL,Total EXIT
