broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
GN011,keynote,SPANDANA,147.0,SELL,
GN011,keynote,SHRIRAMFIN,33.0,BUY,
GN011,keynote,MANGCHEFER,470.0,SELL,
GN011,keynote,VHLTD,1745.0,BUY,
GN011,keynote,RECLTD,42.0,BUY,
GN011,keynote,GPTINFRA,3440.0,BUY,
GN011,keynote,PFC,46.0,BUY,
GN011,keynote,PNB,87.0,BUY,
GN011,keynote,GPTHEALTH,92.0,SELL,
GN011,keynote,PYRAMID,136.0,SELL,
GN011,keynote,AXISBANK,22.0,SELL,
GN011,keynote,BBL,4.0,BUY,
GN011,keynote,KPIGREEN,61.0,BUY,
GN011,keynote,DEEPAKFERT,82.0,SELL,
GN011,keynote,BHARTIARTL,4.0,SELL,
GN011,keynote,VEDL,99.0,BUY,
GN011,keynote,BANKBARODA,105.0,SELL,
GN011,keynote,LIQUIDBEES,120.0,SELL,Total EXIT
