broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
RG008,other,PFC,204.0,BUY,Total ENTRY
RG008,other,TATAMOTORS,96.0,SELL,Total EXIT
RG008,other,PNB,840.0,BUY,Total ENTRY
RG008,other,SPANDANA,671.0,BUY,Total ENTRY
RG008,other,TATAPOWER,243.0,SELL,Total EXIT
RG008,other,RECLTD,198.0,BUY,Total ENTRY
RG008,other,DEEPAKFERT,283.0,SELL,Total EXIT
RG008,other,GPTINFRA,1888.0,BUY,Total ENTRY
RG008,other,BHARTIARTL,25.0,SELL,
RG008,other,SHRIRAMFIN,28.0,SELL,
RG008,other,BANKBARODA,78.0,SELL,
RG008,other,HINDALCO,147.0,SELL,Total EXIT
