broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
MK100,keynote,VEDL,872.0,BUY,
MK100,keynote,SHRIRAMFIN,352.0,BUY,
MK100,keynote,RECLTD,352.0,BUY,
MK100,keynote,DEEPAKFERT,1084.0,SELL,
MK100,keynote,AXISBANK,141.0,SELL,
MK100,keynote,GPTINFRA,1088.0,SELL,
MK100,keynote,KPIGREEN,353.0,SELL,
MK100,keynote,MANGCHEFER,2909.0,SELL,
MK100,keynote,BBL,22.0,SELL,
MK100,keynote,SPANDANA,986.0,SELL,
MK100,keynote,PNB,718.0,BUY,
MK100,keynote,VHLTD,4817.0,BUY,
MK100,keynote,LIQUIDBEES,1083.0,SELL,Total EXIT
MK100,keynote,BHARTIARTL,6.0,BUY,
MK100,keynote,GPTHEALTH,18930.0,BUY,
MK100,keynote,PYRAMID,2428.0,SELL,
MK100,keynote,BANKBARODA,70.0,BUY,
MK100,keynote,PFC,390.0,BUY,
