,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
130,0.0,0.0,0,0.0,0.0,0,0,351.2,INE306L01010,0.0,0,0.0,0.0,0.0,143411.67,667,93129.68,139.624708,667,[539678] QUICKHE,0,-50281.99,0
131,653587.16,2769.437119,236,0.0,0.0,0,0,964.5,INE002A01018,0.0,0,0.0,0.0,0.0,99639.99,39,765967.85,2785.337636,275,[500325] RELIANC,0,12740.7,0
132,67516.48,1776.749474,38,0.0,0.0,0,0,558.5,INE385C01013,0.0,0,0.0,0.0,0.0,0.0,0,74856.2,196.99,380,[504614] SARDAEN,-342,-60030.86,0
133,0.0,0.0,0,0.0,0.0,0,0,219.4,INE283H01019,0.0,0,0.0,0.0,0.0,15897.63,83,27637.02,332.976145,83,[532699] ROHLTD,0,11739.39,0
134,0.0,0.0,0,0.0,0.0,0,0,325.0,INE722H01024,0.0,0,0.0,0.0,0.0,-60566.88,-452,0.0,0.0,0,[532923] RGL,-452,0.0,0
135,265521.04,142.44691,1864,0.0,0.0,0,0,157.55,INE020B01018,0.0,0,0.0,0.0,0.0,0.0,0,391424.81,209.991851,1864,[532955] RECLTD,0,125903.77,0
136,0.0,0.0,0,0.0,0.0,0,0,274.75,INE230R01035,0.0,0,0.0,0.0,0.0,-44441.52,-388,0.0,0.0,0,[539309] RAMASTE,-388,0.0,0
137,320891.65,583.439364,550,0.0,0.0,0,0,0.0,INE549S01010,0.0,0,0.0,0.0,0.0,0.0,0,268450.2,97.618255,2750,[539561] REMEDIU,-2200,-267078.75,0
138,0.0,0.0,0,0.0,0.0,0,0,226.55,INE667G01023,0.0,0,0.0,0.0,0.0,-43796.17,-423,0.0,0.0,0,[590051] SAKSOFT,-423,0.0,0
139,0.0,0.0,0,0.0,0.0,0,0,732.0,INE979A01025,0.0,0,0.0,0.0,0.0,-55315.21,-144,0.0,0.0,0,[532163] SAREGAM,-144,0.0,0
140,0.0,0.0,0,0.0,0.0,0,0,1439.45,INE035D01020,0.0,0,0.0,0.0,0.0,-48390.39,-136,0.0,0.0,0,[524667] SOTL,-136,0.0,0
141,556901.67,607.308255,917,0.0,0.0,0,0,316.6,INE062A01020,0.0,0,0.0,0.0,0.0,0.0,0,604117.33,658.797525,917,[500112] SBIN,0,47215.66,0
