,trading_symbol,exchange,exchange_token
15627,ASTRON,NSE,874
65937,ATALREAL,NSE,15649
15440,ATAM,NSE,15404
78815,ATFL,NSE,1663
73503,ATGL,NSE,6066
5974,ATL,NSE,17778
71631,ATUL,NSE,263
83806,ATULAUTO,NSE,30023
21559,AUBANK,NSE,21238
63242,AURIONPRO,NSE,12022
68911,AUROPHARMA,NSE,275
91474,AURUM,NSE,10310
6655,AUSOMENT,NSE,4037
85389,AUTOAXLES,NSE,278
9893,AUTOBEES,NSE,7880
23351,AUTOIETF,NSE,7844
45602,AUTOIND,NSE,14106
52737,AVADHSUGAR,NSE,21406
53846,AVALON,NSE,15058
27748,AVANTEL,NSE,24610
29959,AVANTIFEED,NSE,7936
49982,AVL,NSE,25984
43027,AVROIND,NSE,8827
21565,AVTNPL,NSE,14008
35806,AWFIS,NSE,23864
37943,AWHCL,NSE,1797
81611,AWL,NSE,8110
40531,AXISBANK,NSE,5900
18894,AXISBNKETF,NSE,1044
17979,AXISBPSETF,NSE,3530
41520,AXISCETF,NSE,5732
7062,AXISGOLD,NSE,20532
17988,AXISHCETF,NSE,3608
32974,AXISILVER,NSE,11193
7075,AXISNIFTY,NSE,21252
18147,AXISTECETF,NSE,3010
68361,AXITA,NSE,9902
34213,AXSENSEX,NSE,14742
78428,AYMSYNTEX,NSE,10285
17393,AZAD,NSE,20905
68269,BAIDFIN,NSE,13794
4702,BAJAJ-AUTO,NSE,16669
68870,BAJAJCON,NSE,19531
57540,BAJAJELEC,NSE,15034
1176,BAJAJFINSV,NSE,16675
45107,BAJAJHCARE,NSE,6863
20182,BAJAJHFL,NSE,25270
67370,BAJAJHIND,NSE,308
28446,BAJAJHLDNG,NSE,305
87352,BAJAJINDEF,NSE,29678
86270,BAJEL,NSE,20531
76906,BAJFINANCE,NSE,317
75509,BALAJEE,NSE,25203
83259,BALAMINES,NSE,14501
88321,BALAXI,NSE,11309
61447,BALKRISHNA,NSE,10181
72554,BALKRISIND,NSE,335
88578,BALMLAWRIE,NSE,338
75609,BALPHARMA,NSE,13441
28094,BALRAMCHIN,NSE,341
59076,BALUFORGE,NSE,23607
73381,BANARBEADS,NSE,347
9064,BANARISUG,NSE,350
67120,BANCOINDIA,NSE,13880
65081,BANDHANBNK,NSE,2263
36224,BANKA,NSE,822
24011,BANKBARODA,NSE,4668
11694,BANKBEES,NSE,11439
20678,BANKBETF,NSE,21986
61387,BANKETF,NSE,17419
30343,BANKETFADD,NSE,13644
20509,BANKIETF,NSE,11037
53962,BANKINDIA,NSE,4745
41077,BANKNIFTY1,NSE,5851
62097,BANKPSU,NSE,25725
12472,BANSALWIRE,NSE,24386
2583,BANSWRAS,NSE,14511
27921,BARBEQUE,NSE,3127
30674,BASF,NSE,368
88260,BASML,NSE,12034
181,BATAINDIA,NSE,371
77473,BAYERCROP,NSE,17927
43124,BBETF0432,NSE,7196
36849,BBL,NSE,13761
31249,BBNPNBETF,NSE,24117
29109,BBNPPGOLD,NSE,20547
14692,BBOX,NSE,3435
35297,BBTC,NSE,380
47393,BBTCL,NSE,12153
66847,BCLIND,NSE,2513
1287,BCONCEPTS,NSE,7780
8103,BDL,NSE,2144
91176,BEARDSELL,NSE,17933
44790,BECTORFOOD,NSE,1628
894,BEDMUTHA,NSE,20196
48004,BEL,NSE,383
80031,BEML,NSE,395
86786,BEPL,NSE,419
15098,BERGEPAINT,NSE,404
45620,BFINVEST,NSE,21113
64455,BFSI,NSE,5220
48683,BFUTILITIE,NSE,14567
79870,BHAGCHEM,NSE,6164
10922,BHAGERIA,NSE,13400
52914,BHAGYANGR,NSE,20776
44089,BHANDARI,NSE,19556
14736,BHARATFORG,NSE,422
