,event_date,cashflow,portfolio,portfolio_plus_cash
0,2022-04-03,5000000.0,0.0,5000000.0
1,2022-04-30,0.0,4686374.26,0.0
2,2022-05-31,0.0,4135937.8400000003,0.0
3,2022-06-16,-999717.42,0.0,0.0
4,2022-06-19,1000000.0,0.0,0.0
5,2022-06-30,0.0,3982141.76,4607141.76
6,2022-07-13,500000.0,0.0,0.0
7,2022-07-20,125000.0,0.0,0.0
8,2022-07-31,0.0,5260404.819999998,0.0
9,2022-08-31,0.0,5484577.66,0.0
10,2022-09-30,0.0,5476506.8900000015,0.0
11,2022-10-06,-441243.74,0.0,0.0
12,2022-10-12,100000.0,0.0,0.0
13,2022-10-16,340000.0,0.0,0.0
14,2022-10-31,0.0,5412427.169999998,0.0
15,2022-11-30,0.0,5445055.630000001,0.0
16,2022-12-31,0.0,5570024.820000001,5580220.220000002
17,2023-01-05,-489804.6,0.0,0.0
18,2023-01-08,500000.0,0.0,0.0
19,2023-01-31,0.0,5279432.83,5779432.83
20,2023-02-06,500000.0,0.0,0.0
21,2023-02-28,0.0,5290551.060000001,0.0
22,2023-03-31,0.0,4889121.08,4899650.55
23,2023-04-05,-439470.53,0.0,0.0
24,2023-04-10,450000.0,0.0,0.0
25,2023-04-30,0.0,5436726.250000001,0.0
26,2023-05-31,0.0,5538834.9399999995,5553693.9399999995
27,2023-06-30,14859.0,5857616.2,10857616.2
28,2023-07-06,-400000.0,0.0,0.0
29,2023-07-09,5400000.0,0.0,0.0
30,2023-07-31,0.0,11288852.23,0.0
31,2023-08-31,0.0,11404093.224000001,11491593.224000001
32,2023-09-30,87500.0,11227480.050999997,0.0
33,2023-10-05,-1950000.0,0.0,0.0
34,2023-10-09,1950000.0,0.0,0.0
35,2023-10-31,0.0,10923946.579999998,0.0
36,2023-11-30,0.0,12782806.901,12817665.901
37,2023-12-20,-1000000.0,0.0,0.0
38,2023-12-28,1000000.0,0.0,0.0
39,2023-12-31,34859.0,14137911.980999999,0.0
40,2024-01-04,-3220000.0,0.0,0.0
41,2024-01-07,3220000.0,0.0,0.0
42,2024-01-31,0.0,14098994.331,0.0
43,2024-02-29,0.0,14882033.771,14917126.771
44,2024-03-31,35093.0,13881278.330999998,0.0
45,2024-04-04,-2225000.0,0.0,0.0
46,2024-04-07,2225000.0,0.0,0.0
47,2024-04-30,0.0,15658064.5906,30658064.5906
48,2024-05-12,15000000.0,0.0,0.0
49,2024-05-31,0.0,32424969.450000003,32506118.90528
50,2024-06-30,81149.45528,31353348.430599995,0.0
51,2024-07-04,-1828118.97,0.0,0.0
52,2024-07-10,1828118.0,0.0,0.0
53,2024-07-31,0.0,36057962.25,0.0
54,2024-08-31,0.0,37638306.3,37733996.3925
55,2024-09-30,95690.0925,38983167.449999996,0.0
56,2024-10-03,-2575000.0,0.0,0.0
57,2024-10-07,2575000.0,0.0,0.0
58,2024-10-31,0.0,37494156.53,0.0
59,2024-11-30,0.0,39822266.599999994,39915165.599999994
60,2024-12-31,92899.0,37688810.9411,0.0
61,2025-01-02,-3004558.95,0.0,0.0
62,2025-01-05,3000000.0,0.0,0.0
63,2025-01-31,0.0,34221092.0,0.0
64,2025-02-28,0.0,31397785.151299994,0.0
