,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
26,365052.0200000002,106.677972,3422,0.0,0.0,0.0,0,364.0,INE124G01033,0.0,0,0.0,0.0,0.0,0.0,0,338914.88,99.04,3422,[532848] DELTACOR,0,-26137.14,0
27,0.0,0.0,0,0.0,0.0,0.0,0,919.0,INE600L01024,0.0,0,0.0,0.0,0.0,154101.2,70,159080.85,2272.583571,70,[539524] LALPATHL,0,4979.65,0
28,210777.9000000001,126.214311,1670,0.0,0.0,0.0,0,0.0,INE0I3401014,0.0,0,0.0,0.0,0.0,214905.67,1442,398709.95,120.093358,3320,[543593] DHAMPUR,-208,-50872.44,0
29,272863.25,4197.896154,65,0.0,0.0,0.0,0,27387.0,INE066A01021,0.0,0,0.0,0.0,0.0,0.0,0,295323.6,4543.44,65,[505200] EICHERMO,0,22460.35,0
30,572368.61,1312.772041,436,0.0,0.0,0.0,0,94.25,INE205B01031,0.0,0,0.0,0.0,0.0,0.0,0,513337.48,588.689771,872,[505700] ELECON,-436,-315650.67,0
31,343646.4400000001,850.61,404,0.0,0.0,0.0,0,0.0,INE0OV601013,0.0,0,0.0,0.0,0.0,0.0,0,260384.46,644.51599,404,[543983] EMS LIMI,0,-83261.98,0
32,320210.4,1334.21,240,0.0,0.0,0.0,0,1071.95,INE102D01028,0.0,0,0.0,0.0,0.0,0.0,0,312480.5,1302.002083,240,[532424] GODREJCP,0,-7729.9,0
33,674885.9100000004,474.937305,1421,0.0,0.0,0.0,0,133.9,INE101D01020,0.0,0,0.0,0.0,0.0,0.0,0,687812.44,484.034089,1421,[532482] GRANULES,0,12926.53,0
34,374253.88,186.94,2002,0.0,0.0,0.0,0,566.6,INE177H01039,0.0,0,0.0,0.0,0.0,0.0,0,332532.2,166.1,2002,[532734] GPIL,0,-41721.68,0
35,440238.49,361.147244,1219,361.96,582397.39,0.0,0,767.4,INE481Y01014,0.0,0,0.0,403.0,132059.22,142158.9,390,0.0,0.0,0,[540755] GICRE,1609,0.0,0
36,9389047.680000069,125.533776,74793,97.21,3228830.15,0.0,0,214.5,INE390G01014,145188.88,0,145188.88,93.43,-251105.4,996299.85,12535,6873212.83,127.015926,54113,[533761] GPT INFR,33215,-428493.43,0
