accd,accddescr,amtcr,amtdr,branchid,branchname,cheqdt,cheqno,co,idn,narr,p_r,runbal,subcode,subdescr,tt,type,vrdt,vrno,datefrom,dateto,accyear
62,CLIENTS,0.0,4118.05,HO,Branch [HO],1899-12-31T18:30:00Z,,02,67558,Obligation For: 2223021W [Equities] Trade Date 29/04/22,,555442.29,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-03T18:30:00Z,V223021,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,22066.9,HO,Branch [HO],1899-12-31T18:30:00Z,,02,14021,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,533375.39,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-05-03T18:30:00Z,IE00001,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,22066.9,HO,Branch [HO],1899-12-31T18:30:00Z,,02,13962,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,511308.49,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-05-04T18:30:00Z,IE00001,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,75060.13,HO,Branch [HO],1899-12-31T18:30:00Z,,02,67695,Obligation For: 2223022W [Equities] Trade Date 02/05/22,,436248.36,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-04T18:30:00Z,V223022,01-04-2022,31-03-2023,2223
62,CLIENTS,72874.66,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,67851,Obligation For: 2223023W [Equities] Trade Date 04/05/22,,509123.02,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-05T18:30:00Z,V223023,01-04-2022,31-03-2023,2223
62,CLIENTS,144679.85,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,68037,Obligation For: 2223024W [Equities] Trade Date 05/05/22,,653802.87,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-08T18:30:00Z,V223024,01-04-2022,31-03-2023,2223
62,CLIENTS,207846.86,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,68203,Obligation For: 2223025W [Equities] Trade Date 06/05/22,,861649.73,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-09T18:30:00Z,V223025,01-04-2022,31-03-2023,2223
62,CLIENTS,912433.51,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,68428,Obligation For: 2223026W [Equities] Trade Date 09/05/22,,1774083.24,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-10T18:30:00Z,V223026,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,129647.85,HO,Branch [HO],1899-12-31T18:30:00Z,,02,68600,Obligation For: 2223027W [Equities] Trade Date 10/05/22,,1644435.39,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-11T18:30:00Z,V223027,01-04-2022,31-03-2023,2223
62,CLIENTS,499236.41,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,68791,Obligation For: 2223028W [Equities] Trade Date 11/05/22,,2143671.8,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-12T18:30:00Z,V223028,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,366084.77,HO,Branch [HO],1899-12-31T18:30:00Z,,02,69000,Obligation For: 2223029W [Equities] Trade Date 12/05/22,,1777587.03,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-16T18:30:00Z,V223029,01-04-2022,31-03-2023,2223
62,CLIENTS,95091.86,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,69172,Obligation For: 2223030W [Equities] Trade Date 13/05/22,,1872678.89,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-17T18:30:00Z,V223030,01-04-2022,31-03-2023,2223
62,CLIENTS,571670.7,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,71502,Obligation For: 2223031W [Equities] Trade Date 16/05/22,,2444349.59,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-17T18:30:00Z,V223031,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,86476.72,HO,Branch [HO],1899-12-31T18:30:00Z,,02,92729,Obligation For: 2223032W [Equities] Trade Date 17/05/22,,2357872.87,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-18T18:30:00Z,V223032,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,228579.96,HO,Branch [HO],1899-12-31T18:30:00Z,,02,121239,Obligation For: 2223033W [Equities] Trade Date 18/05/22,,2129292.91,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-19T18:30:00Z,V223033,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,72055.3,HO,Branch [HO],1899-12-31T18:30:00Z,,02,72447,Obligation For: 2223034W [Equities] Trade Date 19/05/22,,2057237.61,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-22T18:30:00Z,V223034,01-04-2022,31-03-2023,2223
62,CLIENTS,59434.08,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,72554,Obligation For: 2223034Z [Equities] Trade Date 19/05/22,,2116671.69,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-22T18:30:00Z,V223034,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,2872.8,HO,Branch [HO],1899-12-31T18:30:00Z,,02,94179,Obligation For: 2223035W [Equities] Trade Date 20/05/22,,2113798.89,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-23T18:30:00Z,V223035,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,97781.56,HO,Branch [HO],1899-12-31T18:30:00Z,,02,72751,Obligation For: 2223036W [Equities] Trade Date 23/05/22,,2016017.33,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-24T18:30:00Z,V223036,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,147176.09,HO,Branch [HO],1899-12-31T18:30:00Z,,02,72891,Obligation For: 2223037W [Equities] Trade Date 24/05/22,,1868841.24,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-25T18:30:00Z,V223037,01-04-2022,31-03-2023,2223
62,CLIENTS,140458.35,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,73826,Obligation For: 2223039W [Equities] Trade Date 26/05/22,,2009299.59,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-29T18:30:00Z,V223039,01-04-2022,31-03-2023,2223
62,CLIENTS,8102.17,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,73978,Obligation For: 2223040W [Equities] Trade Date 27/05/22,,2017401.76,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-30T18:30:00Z,V223040,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,220797.3,HO,Branch [HO],1899-12-31T18:30:00Z,,02,297669,Obligation For: 2223041W [Equities] Trade Date 30/05/22,,1796604.46,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-31T18:30:00Z,V223041,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,179501.64,HO,Branch [HO],1899-12-31T18:30:00Z,,02,78910,Obligation For: 2223042W [Equities] Trade Date 31/05/22,,1617102.82,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-01T18:30:00Z,V223042,01-04-2022,31-03-2023,2223
62,CLIENTS,74594.74,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,78612,Obligation For: 2223043W [Equities] Trade Date 01/06/22,,1691697.56,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-02T18:30:00Z,V223043,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,80139.39,HO,Branch [HO],1899-12-31T18:30:00Z,,02,80874,Obligation For: 2223044W [Equities] Trade Date 02/06/22,,1611558.17,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-05T18:30:00Z,V223044,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,432074.76,HO,Branch [HO],1899-12-31T18:30:00Z,,02,81564,Obligation For: 2223045W [Equities] Trade Date 03/06/22,,1179483.41,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-06T18:30:00Z,V223045,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,148577.68,HO,Branch [HO],1899-12-31T18:30:00Z,,02,82978,Obligation For: 2223047W [Equities] Trade Date 07/06/22,,1030905.73,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-08T18:30:00Z,V223047,01-04-2022,31-03-2023,2223
